,CEP Estab
5081,50070070
5099,55012290
5114,51021130
5144,55602970
5148,52071470
5187,53403740
5190,52041430
5203,50070110
5346,50060120
5371,53110710
5432,50070040
5461,55016375
5503,53300250
5506,55920000
5513,55535000
5515,50860000
5522,51020390
5532,54762640
5545,51110131
5577,55608470
5599,52081000
5608,56517100
5661,55565000
5751,52070013
5784,54759350
5833,50050230
5866,52041345
5893,55607010
5942,52020095
5952,52061180
5974,53520005
5982,55602280
6046,52121180
6047,50761650
6056,54792340
6147,56330075
6150,50790900
6158,55400000
6177,51111020
6186,54510360
6191,55602230
6215,55700000
6223,54521010
6274,55016833
6295,52041800
6338,50060050
6354,55140000
6357,51020907
6369,54517115
6370,53010580
6407,51030360
6434,53080670
6441,50010080
6475,50750180
6487,52010075
6489,56780000
6529,53435250
6581,55040145
6751,55016480
6759,54505370
6799,50100160
6816,55240000
6834,55604001
6861,51020150
6862,51011600
6883,55655000
6902,50830900
6903,50830000
6935,52060615
6939,50720160
7001,52061320
7021,53416070
7024,53401460
7068,54765138
7069,50731020
7109,53401742
7124,55612901
7175,52060440
7176,52051060
7208,56912430
7210,56906500
7295,50070310
7297,50070135
7329,52111320
7330,53300090
7339,54335045
7343,51180030
7376,55292060
7379,50100090
7381,52171340
7413,51010100
7414,56506190
7426,50030170
7427,52010220
7488,56395000
7529,55291000
7531,55578000
7578,50751370
7581,53640360
7588,53520810
7605,50010040
7612,50710390
7621,53435000
7659,51130260
7666,53640000
7675,52070010
7682,55641235
7697,51021510
7719,56550000
7752,52160000
7753,53150332
7756,51020350
7776,50960120
7777,54518343
7785,50750350
7804,50771510
7826,50050105
7840,53240515
7900,53110800
7917,50610360
7932,56400000
7935,56420000
7948,55395000
7958,53659899
7970,51130115
7977,55580000
7998,50060001
8018,50040110
8024,54320000
8029,55016901
8070,55410000
8076,50690130
8097,50010025
8108,52011080
8132,51190505
8138,50030200
8176,55038045
8199,55315000
8203,56480000
8204,56470000
8217,50020060
8218,55930000
8231,54335035
8248,52070000
8279,54505000
8282,50720705
8284,50070400
8313,50750360
8327,55157290
8342,51170120
8345,55340000
8394,51210902
8470,54768305
8478,55770000
8490,54335025
8514,50030904
8571,55816270
8610,56302140
8622,50050215
8627,52011040
8674,51020260
8679,52011005
8680,54310295
8682,50950901
8685,54355010
8708,51030065
8716,52060412
8718,53020310
8719,52011010
8721,53401320
8741,52010050
8760,50720135
8774,51011051
8777,54230690
8827,51150010
8832,52020070
8837,50050080
8838,54410010
8839,54350100
8841,54330900
8868,50670420
8897,51200120
8955,50950015
8966,54410400
8984,52020150
9021,50070225
9049,50710250
9084,51021530
9109,51020210
9126,50050345
9149,54400380
9160,50030240
9171,55330000
9187,55365000
9196,56903330
9202,56912380
9203,56903510
9229,52051130
9269,55190001
9283,51160171
9303,54400000
9305,52020160
9312,53050110
9345,52030060
9347,55325000
9366,56519040
9368,50100260
9372,53437400
9373,53425430
9388,52051380
9408,54580875
9441,50790640
9442,55293550
9453,51230000
9464,54705210
9498,55295090
9525,55555000
9603,55690000
9605,53417040
9663,52031080
9698,50050040
9710,55602635
9735,55642210
9761,52061410
9762,50740545
9764,50731250
9765,50670320
9771,55296288
9818,56304910
9823,52030200
9840,51030010
9846,53130340
9862,52070660
9884,56580000
9887,50820000
9889,54315275
9911,55675000
9925,54345160
9971,55296190
10016,53560970
10017,55594900
10041,50070330
10043,52010140
10044,50050030
10070,50830390
10072,50610280
10081,55014020
10133,53401600
10152,55014770
10244,55575000
10249,51030450
10282,55014021
10300,55390000
10303,55297320
10304,55295475
10305,55010155
10323,52490005
10378,55292270
10383,56260000
10391,53405190
10393,54310600
10417,55811020
10425,51030350
10427,56140000
10440,50720040
10442,51030260
10443,51011610
10449,50770720
10453,53230630
10462,51240340
10464,56903040
10468,50900400
10476,55360000
10506,50070190
10536,56506100
10540,50030150
10563,54522005
10580,51020035
10583,51111000
10587,50950000
10589,51160060
10592,56720000
10605,51020170
10618,56506480
10639,52051440
10684,55154070
10696,50610170
10704,50030260
10711,50100130
10713,54400190
10768,50740080
10769,50670370
10803,56700000
10810,50090000
10835,55350000
10901,50761310
10943,52050225
10945,50690000
10947,55604060
10956,50630000
10971,54315050
10972,55730000
